ID,Time,
1TON2K5X18KO0S0AMW,12:26:00,0:04:00
1TON2K5X18KO0S0AMW,12:30:00,FALSE
1TON2N9X1G6N458AFE,10:41:18,0:32:42
1TON2N9X1G6N458AFE,11:14:00,FALSE
1TON5J3X1G8F55ENAU,11:11:44,0:08:16
1TON5J3X1G8F55ENAU,11:20:00,FALSE
1TON5LAX1FGRLORAMP,11:56:00,0:27:14
1TON5LAX1FGRLORAMP,12:23:14,FALSE
1TON787X16FL4CNAFL,11:47:00,0:39:18
1TON787X16FL4CNAFL,12:26:18,FALSE
1TON7BCX19P8GH4AFD,11:05:00,0:33:00
1TON7BCX19P8GH4AFD,11:38:00,FALSE
1TON7VDX1GAD2B6AF3,10:46:00,FALSE
1TON8R9X16KGONUAAN,11:36:00,0:07:00
1TON8R9X16KGONUAAN,11:43:00,FALSE
1TONBJLX1G2L2ICAFM,11:34:37,1:04:23
1TONBJLX1G2L2ICAFM,12:39:00,FALSE
1TONBNPX1G8CQ4LAFT,12:13:57,22:54:03
1TONBNPX1G8CQ4LAFT,11:08:00,FALSE
1TONBUSX15B6NN7AF3,12:07:00,0:33:00
1TONBUSX15B6NN7AF3,12:40:00,FALSE
1TONCEAX1G3M039AAI,11:42:04,0:59:54
1TONCEAX1G3M039AAI,12:41:58,FALSE
1TONCSTX1GB44K3AFY,10:44:36,0:47:05
1TONCSTX1GB44K3AFY,11:31:41,FALSE
1TOND7QX14OQS5RAAK,11:18:12,0:03:48
1TOND7QX14OQS5RAAK,11:22:00,FALSE
1TONEK6X1FRGNHBAFP,11:46:00,FALSE
1TONFIVX1G6UHJVVM5,12:11:00,0:31:00
1TONFIVX1G6UHJVVM5,12:42:00,FALSE
1TONGQPX1G3K161AFJ,12:39:59,23:01:01
1TONGQPX1G3K161AFJ,11:41:00,FALSE
1TONHO4X1GADP9KAFF,12:07:00,0:33:00
1TONHO4X1GADP9KAFF,12:40:00,FALSE
1TONI70X1G7B344ASY,12:02:00,0:38:00
1TONI70X1G7B344ASY,12:40:00,FALSE
1TONID9X1E7JDEOAAG,11:47:00,1:00:00
1TONID9X1E7JDEOAAG,12:47:00,FALSE
1TONJD8X1GC622NAAG,11:50:18,0:19:42
1TONJD8X1GC622NAAG,12:10:00,FALSE
1TONK3VX19876QNANE,11:57:00,0:17:51
1TONK3VX19876QNANE,12:14:51,FALSE
1TONKCHX15VBURNAMD,12:21:22,0:28:38
1TONKCHX15VBURNAMD,12:50:00,FALSE
1TONLP9X1G4JUR1AAD,11:31:00,0:10:48
1TONLP9X1G4JUR1AAD,11:41:48,FALSE
1TONQUAX1G8L2K7AM9,12:15:38,0:21:52
1TONQUAX1G8L2K7AM9,12:37:30,FALSE
1TONSV5X1GCVRV0AF3,11:48:53,0:39:29
1TONSV5X1GCVRV0AF3,12:28:22,FALSE
1TONTOAX18L63UENAJ,11:35:27,0:31:31
1TONTOAX18L63UENAJ,12:06:58,FALSE
1TONU8IX1942GFNAAN,11:36:20,0:09:40
1TONU8IX1942GFNAAN,11:46:00,FALSE
1TOO3KGX1G7LQB6AF3,10:42:00,1:11:00
1TOO3KGX1G7LQB6AF3,11:53:00,FALSE
1TOO587X15TEPPIAAG,11:41:00,0:48:39
1TOO587X15TEPPIAAG,12:29:39,FALSE
1TOO675X1GDAAM2AAG,11:34:00,1:04:23
1TOO675X1GDAAM2AAG,12:38:23,FALSE
1TOO6T7X1G4V1LTAFD,11:13:00,0:13:00
1TOO6T7X1G4V1LTAFD,11:26:00,FALSE
